"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-11-25","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-11-26","69"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-11-27","66"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-11-28","67"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-11-29","69"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-11-30","69"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-12-01","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-12-02","67"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-12-03","68"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-12-04","68"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-12-05","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-12-06","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-12-07","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-12-08","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-12-09","69"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-12-10","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-12-11","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-12-12","75"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-12-13","69"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-12-14","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-12-15","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-12-16","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-12-17","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-12-18","64"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-12-19","66"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-12-20","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-12-21","75"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-12-22","73"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-12-23","67"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-12-24","65"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-12-25","67"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-12-26","65"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-12-27","58"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-12-28","68"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-12-29","66"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-12-30","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-12-31","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-01-01","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-01-02","75"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-01-03","69"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-01-04","73"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-01-05","68"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-01-06","66"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-01-07","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-01-08","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-01-09","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-01-10","75"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-01-11","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-01-12","68"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-01-13","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-01-14","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-01-15","69"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-01-16","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-01-17","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-01-18","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-01-19","73"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-01-20","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-01-23","74"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-01-24","69"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-01-25","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-01-26","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-01-27","75"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-01-28","67"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-01-29","67"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-02-02","66"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-02-03","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-02-04","65"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-02-05","69"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-02-06","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-02-07","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-02-08","66"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-02-09","74"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-02-10","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-02-11","67"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-02-12","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-02-13","64"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-02-14","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-02-15","65"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-02-16","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-02-17","69"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-02-18","65"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-02-19","65"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-02-20","62"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-02-21","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-02-22","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-02-23","66"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-02-24","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-02-25","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-02-26","69"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-02-27","76"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-02-28","67"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-02-29","69"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-03-01","69"
